;;;;;;;;;;;;;;;;;
;TIPO;ANO;LEI / NORMA;OBJETIVO;TEMA;"Aplic†vel Ö 
IP CREDENCIADOR";"Aplic†vel Ö 
IP EME";"Aplic†vel Ö 
IF SCD";"Aplic†vel Ö 
TAG";Aplic†vel Ö pelo menos uma das 4;OBSERVAÄ«O;BASE LEGAL;VIGOR;;;;
;Resoluá∆o CMN;abr/20;Resoluá∆o 4.811/20;Altera a Resoluá∆o nß 3.568/08, que disp‰e sobre o mercado de cÉmbio, e a Resoluá∆o nß 3.954/11, que altera e consolida as normas que disp‰em sobre a contrataá∆o de correspondentes no Pa°s, para elevar limites de instituiá‰es para a realizaá∆o de operaá‰es de cÉmbio e aprimorar os dispositivos relativos a correspondentes em operaá‰es de cÉmbio.;CÉmbio;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Atividade n∆o desempenhada pelas instituiá‰es do grupo.

As sociedades corretoras de t°tulos e valores mobili†rios, sociedades distribuidoras de t°tulos e valores mobili†rios e sociedades corretoras de cÉmbio passam a poder realizar operaá‰es de cÉmbio com clientes para liquidaá∆o pronta atÇ US$300.000,00 ou o seu equivalente em outras moedas.

AlÇm disso, estabelece que nas operaá‰es de compra e de venda de moeda estrangeira atÇ US$3.000,00, fica dispensada a guarda de c¢pia dos documentos de identificaá∆o do cliente para os casos de operaá‰es sema participaá∆o de empresas contratadas como correspondentes.";O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 30 de abril de 2020, com base nas disposiá‰es do art. 4ß, incisos V, VIII e XXXI, da referida Lei e tendo em vista o disposto no art. 23 da Lei nß 4.131, de 3 de setembro de 1962,;;;;;
;Resoluá∆o CMN;abr/20;Resoluá∆o 4.812/20;Disp‰e sobre os instrumentos de captaá∆o das sociedades de crÇdito, financiamento e investimento.;Sociedades de CrÇdito, Financiamento e Investimento;N∆o ;N∆o ;N∆o ;;N∆o;"Atividade n∆o desempenhada pelas instituiá‰es do grupo.

Autoriza a emiss∆o de CDB por sociedades de crÇdito, financiamento e investimento. Adicionalmente s∆o ficam autorizadas a captar recursos por meio de dep¢sito interfinanceiro; dep¢sito a prazo com garantia especial; letra de cÉmbio; LCA; LF; LIG; operaá∆o compromissada; e recibo de dep¢sito banc†rio.";O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 30 de abril de 2020, com base nos arts. 4ß, incisos VI, VIII e XXXII, da referida Lei, 14, incisos II e III, da Lei nß 4.728, de 14 de julho de 1965, 49 da Lei nß 11.076, de 30 de dezembro de 2004, 41, inciso I, da Lei nß 12.249, de 11 de junho de 2010, 91, inciso II, da Lei nß 13.097, de 19 de janeiro de 2015, e 40, inciso II, da Lei nß 13.986, de 7 de abril de 2020,;;;;;
;Resoluá∆o CMN;abr/20;Resoluá∆o 4.813/20;Estabelece, por prazo determinado, percentuais a serem aplicados ao montante dos ativos ponderados pelo risco na forma simplificada (RWAS5), para fins de apuraá∆o do requerimento m°nimo de Patrimìnio de Referància Simplificado (PRS5), de que trata a Resoluá∆o nß 4.606/17.;Contabilidade;N∆o ;N∆o ;Sim;;N∆o;"Altera requerimento de m°nimo de PRS5 para a instituiá∆o que optar pela utilizaá∆o de metodologia simplificada para apuraá∆o do requerimento m°nimo de PRS5 nos seguintes termos:

No per°odo de 01/05/20 a 20/04/21, os percentuais ser∆o:
(i) 10,5% do montante RWAS5, para cooperativa singular de crÇdito filiada a cooperativa central; e
(ii) 15,5% do montante do RWAS5, para demais instituiá‰es.

No per°odo de 01/05/21 a 31/10/21, os percentuais ser∆o:
(i) 11% do montante RWAS5, para cooperativa singular de crÇdito filiada a cooperativa central; e
(ii) 15,5% do montante do RWAS5, para demais instituiá‰es.

No per°odo entre 01/11/21 a 30/04/22, os percentuais ser∆o:
(i) 11,5% do montante RWAS5, para cooperativa singular de crÇdito filiada a cooperativa central; e
(ii) 16,25% do montante do RWAS5, para demais instituiá‰es.

[Solicitamos validaá∆o da contabilidade quanto Ö aplicabilidade e relevÉncia da norma para a operaá∆o da SCD]";O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 30 de abril de 2020, com base nos arts. 3ß, inciso VI, e 4ß, incisos VIII e XI, da referida Lei, 9ß e 10 da Lei nß 4.728, de 14 de julho de 1965, 20, ı 1ß, da Lei nß 4.864, de 29 de novembro de 1965, 7ß e 23 da Lei nß 6.099, de 12 de setembro de 1974, e 1ß, ı 1ß, e 12 da Lei Complementar nß 130, de 17 de abril de 2009,;;;;;
;Resoluá∆o CMN;abr/20;Resoluá∆o 4.814/20;Altera a Resoluá∆o nß 4.677/18, que estabelece limites m†ximos de exposiá∆o por cliente e limite m†ximo de exposiá‰es concentradas.;Contabilidade;N∆o ;N∆o ;N∆o ;;N∆o;Solicitamos validaá∆o da contabilidade quanto Ö aplicabilidade e relevÉncia da norma para a operaá∆o da SCD] Contabilidade julga N/A;"O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 30 de abril de 2020, com base nos arts. 4ß, incisos VIII e X, da referida Lei, 9ß e 10 da Lei nß 4.728, de 14 de julho de 1965, 20, ı 1ß, da Lei nß 4.864, de 29 de novembro de 1965, 7ß e 23, al°nea ""a"", da Lei nß 6.099, de 12 de setembro de 1974, 1ß, ı 1ß, e 12 da Lei Complementar nß 130, de 17 de abril de 2009, e 1ß, ı 2ß, da Medida Provis¢ria nß 2.192-70, de 24 de agosto de 2001,";;;;;
;Comunicado BCB;mai/20;Comunicado 35.623/20;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 29.04.20.";Taxa B†sica Financeira;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

De acordo com o que determina a Resoluá∆o nß 4.624/18, comunica que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 30.04.20 a 30.05.20 s∆o, respectivamente 0,2408%, 1,0056 e 0,0000%";-;;;;;
;Resoluá∆o Conjunta;mai/20;Resoluá∆o Conjunta 1/20;Disp‰e sobre a implementaá∆o do Sistema Financeiro Aberto (Open Banking).;Open Banking;Sim;Sim;Sim;N∆o;Sim;"O Open Banking Ç o compartilhamento de informaá‰es e serviáos dentro do sistema financeiro, de forma organizada, sistematizada e segura e conforme conveniància e necessidade do cliente do serviáo financeiro. 

Visa promover a concorrància, incentivar a inovaá∆o, aumentar a eficiància no SFN. 

S∆o participantes do Open Banking:
(i) Obrigatoriamente as instituiá‰es enquadradas no S1 e S2.
(ii) A entrada das demais instituiá‰es Ç facultativa

A sua implementaá∆o se dar† em quatro fases, quais sejam:
(i) Compartilhamento de dados de produtos oferecidos pelas IFs;
(ii) Dados cadastrais e de transaá‰es de clientes, mediante prÇvio consentimento.
(iii) Serviáos ? transaá∆o de pagamento; e
(iv) Expans∆o do escopo para outros dados, tais como operaá‰es de cÉmbio, investimentos, seguros.

A Resoluá∆o entra em vigor em 01/06/20.";"O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que sua Diretoria Colegiada, em sess∆o realizada em 22 de abril de 2020, e o Conselho Monet†rio Nacional, em sess∆o realizada em 30 de abril de 2020, com base no art. 4ß, inciso VIII, da referida Lei, e no art. 9ß, caput e inciso II, da Lei nß 12.865, de 9 de outubro de
2013,";;;;;
;Circular BCB;mai/20;Circular 4.015/20;Disp‰e sobre o escopo de dados e serviáos do Sistema Financeiro Aberto (Open Banking).;Open Banking;Sim;Sim;Sim;N∆o;Sim;"Delimita a atuaá∆o do Open Banking.

Vide: https://www.bcb.gov.br/detalhenoticia/448/noticia";A Diretoria Colegiada do Banco Central do Brasil, em sess∆o extraordin†ria realizada em 4 de maio de 2020, com base nos arts. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, 9ß, inciso II, da Lei nß 12.865, de 9 de outubro de 2013, e 51, inciso I, da Resoluá∆o Conjunta nß 1, de 4 de maio de 2020,;;;;;
;Resoluá∆o CMN;mai/20;Resoluá∆o 4.815/20 ;Disp‰e sobre condiá‰es e procedimentos para a realizaá∆o de operaá‰es de desconto de receb°veis mercantis e de operaá‰es de crÇdito garantidas por esses receb°veis pelas instituiá‰es financeiras.;Receb°veis Mercantis;N∆o ;Sim;Sim;Sim;Sim;"A norma estabelece condiá‰es e procedimentos para a realizaá∆o de operaá‰es de negociaá∆o de receb°veis mercantis pelas instituiá‰es financeiras.

Estabelece cronograma para in°cio da utilizaá∆o das duplicatas escriturais em acordo com a Circular 4.016/20.

Na negociaá∆o de receb°veis mercantis a constituir, as instituiá‰es financeiras dever∆o prever, em instrumento contratual, a obrigatoriedade da emiss∆o de duplicata escritural por ocasi∆o da realizaá∆o da operaá∆o de compra e venda ou da prestaá∆o do serviáo.

Nas operaá‰es que envolvam duplicatas escriturais as instituiá‰es financeiras devem:
(i) especificar as duplicatas escrituras emitidas ou os receb°veis mercantis que sejam objeto da operaá∆o;
(ii) requerer a autorizaá∆o do cliente sacador para o envio de informaá‰es sobre a operaá∆o para o sistema de registro ou de dep¢sito centralizado de ativos;
(iii) especificar a IF ou a IP por meio da qual ocorrer† o recebimento dos recursos financeiros referentes ao pagamento das duplicatas escriturais objeto da operaá∆o; e
(iv) especificar as condiá‰es, no caso de operaá‰es de crÇdito garantidas por receb°veis mercantis, para liberaá∆o dos recursos provenientes da liquidaá∆o financeira das duplicatas escriturais, quando, por ocasi∆o de seu pagamento, ainda estiverem garantindo operaá‰es de crÇdito.

A Circular entra em vigor em 01/06/20. ";O Banco Central do Brasil, na forma do art. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, torna p£blico que o Conselho Monet†rio Nacional, em sess∆o realizada em 30 de abril de 2020, com base no art. 4ß, incisos VI e VIII, da referida Lei,;;;;;
;Circular BCB;mai/20;Circular 4.016/20;Disp‰e sobre a atividade de escrituraá∆o de duplicata escritural, sobre o sistema eletrìnico de escrituraá∆o gerido por entidade autorizada a exercer essa atividade e sobre o registro ou o dep¢sito centralizado e a negociaá∆o desses t°tulos de crÇdito.;Duplicata Escritural;N∆o ;N∆o ;Sim;Sim;Sim;"A norma visa fomentar o mercado de crÇdito.

Fixa obrigatoriedade de que toda duplicata transacionada no Émbito do sistema financeiro digital seja registrada.

Pontos importantes:
(i) Eliminaá∆o de riscos como a duplicidade, em raz∆o do registro que garantir† a unicidade desse instrumento perante todo o sistema financeiro.
(ii) Garantia efetiva para as operaá‰es de crÇdito e consequentemente, com o potencial de ampliar a concess∆o de crÇdito principalmente para as PMEs com um custo menor.
(iii) Norma tambÇm cria a figura do escriturador, entidade autorizada a realizar a atividade de escrituraá∆o de duplicatas escriturais. O escriturador fica respons†vel pela certid∆o de nascimento desse t°tulo. (Autorizaá∆o para o exerc°cio da atividade disposto no art. 13ß)

Ser† necess†rio a criaá∆o de uma convená∆o para assegurar a interoperabilidade. Ap¢s a aprovaá∆o da convená∆o, a duplicata comeáara a funcionar de acordo com as fases estabelecidas na norma.

A Circular entra em vigor em 01/06/20.";A Diretoria Colegiada do Banco Central do Brasil, em sess∆o extraordin†ria realizada em 4 de maio de 2020, com base nos arts. 9ß da Lei nß 4.595, de 31 de dezembro de 1964, 28, inciso II, da Lei nß 12.810, de 15 de maio de 2013, 3ß, ı 1ß, 4ß, ı 2ß, e 11 da Lei nß 13.775, de 20 de dezembro de 2018, combinados com o disposto no Decreto nß 9.769, de 16 de abril de 2019, e tendo em vista a Resoluá∆o nß 4.815, de 4 de maio de 2020,;;;;;
;Comunicado BCB;mai/20;Comunicado 35.625/20 ;Resultado das operaá‰es compromissadas - Comunicado 35.599;Operaá‰es Compromissadas;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O BCB comunica que, nas operaá‰es compromissadas em moeda estrangeira (Comunicado 35.599), foram aceitos, para o prazo de recompra de 03;06.20, US$ 889.066.720,00, Ö taxa de 1% a.a. em d¢lares americanos.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.626/20;Comunica a publicaá∆o de novas vers‰es de especificaá‰es dos Dados Abertos do Sistema Financeiro Nacional.;SFN;Sim;Sim;Sim;N∆o ;Sim;"Comunica a publicaá∆o de novas vers‰es de especificaá‰es dos Dados Abertos do Sistema Financeiro Nacional.
As novas vers‰es das especificaá‰es passam a vigorar a partir de 01/06/20 e devem ser homologadas a partir de 18/05/20.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.628/20;Divulga as condiá‰es de oferta p£blica para a realizaá∆o de operaá‰es de swap para fins de rolagem do vencimento de 01/06/20.;Swap Cambial;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O BCB, tendo em vista o disposto na Resoluá∆o 2.939/02 e na Circular 3.099/02, torna p£blico que, das 11:30 Ös 11:40 horas do dia 05.05.20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de swap a serem registradas na B3, nos termos do ""Contrato de Swap Cambial com Ajuste Peri¢dico Baseado em Operaá‰es Compromissadas de Um Dia - SCS"" daquela bolsa.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.629/20 ;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 29.04.20.";Taxa B†sica Financeira;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

De acordo com o que determina a Resoluá∆o nß 4.624/18, comunicamos que as TBFs, os Redutores ""R"" e as Taxas Referenciais (TR) relativos aos per°odos abaixo especificados s∆o:
I - TBF: a) de 01.05.20 a 31.05.20: 0,2292%; b) de 01.05.20 a 01.06.20: 0,2292%; c) de 02.05.20 a 02.06.20: 0,2406%; d) de 03.05.20 a 03.06.20: 0,2519%; e) de 04.05.20 a 04.06.20: 0,2633%;
II - Redutores ""R"": a) de 01.05.20 a 31.05.20: 1,0055; b) de 01.05.20 a 01.06.20: 1,0055; c) de 02.05.20 a 02.06.20: 1,0056; d) de 03.05.20 a 03.06.20: 1,0056; e) de 04.05.20 a 04.06.20: 1,0056; e
III - Taxas Referenciais (TR): a) de 01.05.20 a 31.05.20: 0,0000%; b) de 01.05.20 a 01.06.20: 0,0000%; c) de 02.05.20 a 02.06.20: 0,0000%; d) de 03.05.20 a 03.06.20: 0,0000%; e) de 04.05.20 a 04.06.20: 0,0000%.";-;;;;;
;Carta Circular BCB;mai/20;Carta Circular 4.043/20;Altera a Carta Circular nß 4.024/20, que estabelece procedimentos para verificaá∆o dos critÇrios de elegibilidade das garantias vinculadas para a Linha Tempor†ria Especial de Liquidez via emiss∆o de Letra Financeira com garantia em ativos financeiros ou valores mobili†rios (LTEL-LFG) de que tratam a Resoluá∆o nß 4.795/20, e a Circular nß 3.996/20.;Letra Financeira Garantida;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Atividade n∆o desempenhada pelas instituiá‰es do grupo.

Estabelece que n∆o se aplicam os repasses interfinanceiros realizados no Émbito do Sistema Nacional de CrÇdito Cooperativo Ös operaá‰es com partes relacionadas.
Adicionalmente, a instituiá∆o dever† observar o disposto nas al°neas ?p? e ?q? do inciso I, al°neas ?b? e ?c? do inciso II, al°neas ?b? e ?c? do inciso III, e ı 1ß do art. 8ß da Circular nß 3.996, de 2020.
A emiss∆o da LFG pode ser realizada exclusivamente por bancos m£ltiplos, bancos comerciais, bancos de investimento, caixas econìmicas e o BNDES.";O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig) no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, e tendo em vista o disposto nas Resoluá‰es ns. 4.571, de 26 de maio de 2017, e 4.795, de 2 de abril de 2020, nas Circulares ns. 3.870, de 19 de dezembro de 2017, 3.996, de 6 de abril de 2020, 4.004, de 16 de abril de 2020, 4.007, de 24 de abril de 2020, e 4.011, 28 de abril de 2020, e na Carta Circular nß 3.869, de 19 de maráo de 2018,;;;;;
;Comunicado BCB;mai/20;Comunicado 35.635/20;Divulga as condiá‰es de oferta p£blica para a realizaá∆o de operaá‰es de swap para fins de rolagem do vencimento de 01/06/20.;Swap Cambial;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O BCB, tendo em vista o disposto na Resoluá∆o 2.939/02 e na Circular 3.099/02, torna p£blico que, das 11:30 Ös 11:40 horas do dia 06/05/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de swap a serem registradas na B3, nos termos do ""Contrato de Swap Cambial com Ajuste Peri¢dico Baseado em Operaá‰es Compromissadas de Um Dia - SCS"" daquela bolsa.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.636/20;Divulga condiá‰es para a realizaá∆o de operaá‰es compromissadas com instituiá‰es financeiras participantes do m¢dulo Oferta P£blica (Ofpub).;Operaá‰es Compromissadas;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O BCB torna p£blico que, das 12:00 Ös 12:30 horas do dia 06/05/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de venda de t°tulos p£blicos com compromisso de revenda assumido pela instituiá∆o financeira compradora, admitida a livre movimentaá∆o dos t°tulos.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.637/20;Divulga a realizaá∆o de operaá‰es compromissadas em moeda estrangeira pelo BCB, mediante a venda, Ö vista, de t°tulos soberanos por instituiá∆o financeira para o BCB, com simultÉnea assuná∆o, pela vendedora, de compromisso de recompra de t°tulos com as mesmas caracter°sticas em data futura.;Operaá‰es Compromissadas;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O Depin estabelece procedimentos a serem observados para a realizaá∆o de operaá‰es compromissadas em moeda estrangeira pelo BCB.";-;;;;;
;Carta Circular BCB;mai/20;Carta Circular 4.044/20;Altera a redaá∆o da Carta Circular nß 4.031/20, que altera o Leiaute e as Instruá‰es de Preenchimento do documento 3040 - Dados de Risco de CrÇdito, do Sistema de Informaá‰es de CrÇditos (SCR), de que tratam a Circular nß 3.870/17, e a Carta Circular nß 3.869/18.;Contabilidade;"Sim
Altera norma aplic†vel";"Sim
Altera norma aplic†vel";"Sim
Altera norma aplic†vel";;Sim;"Entra em vigor, a partir da data-base de abril de 2020, a nova vers∆o do Leiaute e das Instruá‰es de Preenchimento do documento 3040 - Dados de Risco de CrÇdito.

Foi alterada a regra de exigància para as informaá‰es adicionais 0402, 0405, 0407, 0408 e 0409 da letra ?D. Informaá‰es da Operaá∆o?, item ?4. Informaá‰es Adicionais - (tag Inf).

Admite-se o envio das informaá‰es abaixo em regime de produá∆o assistida para a data-base de abril de 2020, sendo obrigat¢rio seu envio a partir da data-base de maio de 2020.
Anexo 8: ?Caracter°stica Especial? a inclus∆o dos dom°nios:
1. 23, com a descriá∆o ?Renegociaá∆o Covid-19 (Resoluá∆o 4.803/2020)?;
2. 24, com a descriá∆o ?PESE - Programa Emergencial de Suporte a Empregos (MP 944/2020 e Res.4800/2020)?.

[Sugerimos comunicaá∆o Ö contabilidade/†reas impactadas]";O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig) no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto nas Resoluá‰es ns. 4.571, de 26 de maio de 2017, 4.782, de 16 de maráo de 2020, 4.795, de 2 de abril de 2020, e 4.803, de 9 de abril de 2020, nas Circulares ns. 3.870, de 19 de dezembro de 2017, e 3.996, de 6 de abril de 2020, e na Carta Circular nß 3.869, de 19 de maráo de 2018,;;;;;
;Comunicado BCB;mai/20;Comunicado 35.638/20;"Divulga a Taxa B†sica Financeira (TBF), o Redutor ""R"" e a Taxa Referencial (TR) relativos a 05/05/20.";Taxa B†sica Financeira;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

De acordo com o que determina a Resoluá∆o nß 4.624/18, comunica que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 05.05.20 a 05.06.20 s∆o, respectivamente: 0,2590%, 1,0056 e 0,0000%.";-;;;;;
;Carta Circular BCB;mai/20;Carta Circular 4.045/20;Altera o Leiaute e as Instruá‰es de preenchimento do documento de c¢digo 2061 - Demonstrativo de Limites Operacionais (DLO), de que trata a Carta Circular nß 3.663/14.;Contabilidade;N∆o ;N∆o ;N∆o*;;N∆o;"*Aplic†vel apenas para SCDs enquadr†veis no segmento S1 a S4.

- O Documento 2061 se destina Ö apresentaá∆o de informaá‰es de conglomerados prudenciais e de instituiá‰es individuais n∆o-vinculadas a conglomerados, exceto sociedades de crÇdito ao microempreendedor e Ö empresa de pequeno porte.

Quando se tratar de conglomerados prudenciais as informaá‰es dever∆o estar devidamente consolidadas.

[Para corroborar o entendimento solicitamos avaliaá∆o da Contabilidade acerca de eventual aplicabilidade Ö SCD]";O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig) no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, do referido Regimento, e tendo em vista o disposto nas Resoluá‰es ns. 4.192 e 4.193, ambas de 1ß de maráo de 2013, e 4.814, de 30 de abril de 2020, e nas Circulares ns. 3.398, de 23 de julho de 2008, 3.644, de 4 de maráo de 2013, 3.998, de 9 de abril de 2020, e 4.006, de 22 de abril de 2020,;;;;;
;Comunicado BCB;mai/20;Comunicado 35.641/20 ;Divulga as condiá‰es de oferta p£blica para a realizaá∆o de operaá‰es de swap para fins de rolagem do vencimento de 01/06/20.;Swap Cambial;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O BCB, tendo em vista o disposto na Resoluá∆o 2.939/02 e na Circular 3.099/02, torna p£blico que, das 11:30 Ös 11:40 horas do dia 07/05/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de swap a serem registradas na B3, nos termos do ""Contrato de Swap Cambial com Ajuste Peri¢dico Baseado em Operaá‰es Compromissadas de Um Dia - SCS"" daquela bolsa.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.642/20;Divulga a meta para a Taxa Selic, a partir de 7 de maio de 2020.;Selic;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.
Taxa Selic ser† de 3,00% (tràs por cento) ao ano, a partir de 7 de maio de 2020.";;;;;;
;Carta Circular BCB;mai/20;Carta Circular 4.046/20;Estabelece procedimentos para a atualizaá∆o e para a solicitaá∆o de desconstituiá∆o de gravames sobre ativos financeiros e valores mobili†rios relativos Ö Linha Tempor†ria Especial de Liquidez via emiss∆o de Letra Financeira com garantia (LTEL-LFG) de que tratam a Resoluá∆o nß 4.795/20, e a Circular nß 3.996/20.;Letra Financeira Garantida;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Atividade n∆o desempenhada pelas instituiá‰es do grupo.

Bancos m£ltiplos, bancos comerciais, bancos de investimento, caixas econìmicas e o Banco Nacional de Desenvolvimento Econìmico e Social (BNDES) e titulares de Conta Reservas Banc†rias.

A atualizaá∆o dos dados informados ao  deposit†rio central ou Ö entidade registradora, relativos a ativos financeiros e valores mobili†rios deve ser realizada nos termos da Carta Circular.";O Chefe do Departamento de Monitoramento do Sistema Financeiro (Desig) no uso da atribuiá∆o que lhe confere o art. 23, inciso I, al°nea ?a?, do Regimento Interno do Banco Central do Brasil, anexo Ö Portaria nß 84.287, de 27 de fevereiro de 2015, com base no art. 77, inciso III, e tendo em vista o disposto nas Resoluá‰es ns. 4.571, de 26 de maio de 2017, e 4.795, de 2 de abril de 2020, nas Circulares ns. 3.870, de 19 de dezembro de 2017, 3.996, de 6 de abril de 2020, e 4.004, de 16 de abril de 2020, e na Carta Circular nß 3.869, de 19 de maráo de 2018,;;;;;
;Comunicado BCB;mai/20;Comunicado 35.643/20;"Divulga a Taxa B†sica Financeira, o Redutor ""R"" e a Taxa Referencial relativos a 06/05/20.";Taxa B†sica Financeira;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

De acordo com o que determina a Resoluá∆o nß 4.624/18, comunicamos que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 06.05.20 a 06.06.20 s∆o, respectivamente: 0,2553%, 1,0056 e 0,0000%.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.644/20;Divulga as condiá‰es de oferta p£blica para a realizaá∆o de operaá‰es de swap.;Swap Cambial;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O BCB, tendo em vista o disposto na Resoluá∆o 2.939/02 e na Circular 3.099/02, torna p£blico que, das 11:45 Ös 11:55 horas do dia 07/05/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de swap a serem registradas na B3, nos termos do ""Contrato de Swap Cambial com Ajuste Peri¢dico Baseado em Operaá‰es Compromissadas de Um Dia - SCS"".";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.647/20;Divulga as condiá‰es de oferta p£blica para a realizaá∆o de operaá‰es de swap.;Swap Cambial;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

 BCB, tendo em vista o disposto na Resoluá∆o 2.939/02 e na Circular 3.099/02, torna p£blico que, das 16:45 Ös 16:55 horas do dia 07/05/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de swap a serem registradas na B3, nos termos do ""Contrato de Swap Cambial com Ajuste Peri¢dico Baseado em Operaá‰es Compromissadas de Um Dia - SCS"" daquela bolsa.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.648/20;Divulga condiá‰es para a realizaá∆o de operaá‰es compromissadas com instituiá‰es financeiras participantes do m¢dulo Oferta P£blica.;Operaá‰es Compromissadas;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

O BCB torna p£blico que, das 12:00 Ös 12:30 horas do dia 08/05/20, acolher† propostas das IFs participantes do m¢dulo Ofpub para a realizaá∆o de operaá‰es de venda de t°tulos p£blicos com compromisso de revenda assumido pela instituiá∆o financeira compradora, admitida a livre movimentaá∆o dos t°tulos.";-;;;;;
;Comunicado BCB;mai/20;Comunicado 35.649/20;"Divulga a Taxa B†sica Financeira, o Redutor ""R"" e a Taxa Referencial relativos a 07/05/20.";Taxa B†sica Financeira;N∆o ;N∆o ;N∆o ;N∆o ;N∆o;"Disciplina atividade do BCB.

De acordo com o que determina a Resoluá∆o nß 4.624/18, comunicamos que a TBF, o Redutor ""R"" e a Taxa Referencial (TR) relativos ao per°odo de 07.05.20 a 07.06.20 s∆o, respectivamente: 0,2421%, 1,0056 e 0,0000%.";-;;;;;
